Plant_ID,Date,PM25_Avg,SO2_Avg,NOx_Avg,Readings,Exceedances,AQI_Avg
LOC-BLR-01,2025-01-01,186.03,193.18,186.47,89,89,431.32
LOC-BLR-01,2025-01-02,189.4,196.21,191.61,85,85,436.05
LOC-BLR-01,2025-01-03,188.61,204.54,201.96,89,89,455.74
LOC-BLR-01,2025-01-04,189.63,184.32,205.74,90,90,425.13
LOC-BLR-01,2025-01-05,195.68,186.61,183.46,92,91,432.98
LOC-BLR-01,2025-01-06,188.88,198.51,203.33,88,87,443.86
LOC-BLR-01,2025-01-07,178.19,199.41,191.76,90,90,430.64
LOC-BLR-01,2025-01-08,199.13,194.89,203.16,87,87,461.53
LOC-BLR-01,2025-01-09,198.6,203.97,200.69,88,88,461.78
LOC-BLR-01,2025-01-10,191.77,206.25,207.76,90,90,449.96
LOC-BLR-01,2025-01-11,199.67,214.19,202.14,91,91,457.49
LOC-BLR-01,2025-01-12,178.04,188.2,195.56,86,86,421.34
LOC-BLR-01,2025-01-13,182.78,205.62,215.31,86,86,436.93
LOC-BLR-01,2025-01-14,182.07,209.86,210.0,84,84,446.26
LOC-BLR-01,2025-01-15,201.89,189.14,205.25,89,88,451.49
LOC-BLR-01,2025-01-16,181.09,198.18,189.14,87,87,424.41
LOC-BLR-01,2025-01-17,153.55,168.99,193.4,86,86,390.36
LOC-BLR-01,2025-01-18,194.74,189.58,196.03,85,85,440.24
LOC-BLR-01,2025-01-19,181.0,200.73,178.22,91,91,422.21
LOC-BLR-01,2025-01-20,204.84,208.41,212.79,89,88,461.12
LOC-BLR-01,2025-01-21,197.83,189.54,221.46,87,87,448.42
LOC-BLR-01,2025-01-22,190.51,199.34,223.68,92,92,453.06
LOC-BLR-01,2025-01-23,190.81,196.13,195.72,88,88,449.16
LOC-BLR-01,2025-01-24,200.84,195.73,202.43,87,87,441.36
LOC-BLR-01,2025-01-25,168.65,205.85,193.48,82,82,406.3
LOC-BLR-01,2025-01-26,193.79,195.75,181.34,85,84,446.31
LOC-BLR-01,2025-01-27,189.7,217.02,197.31,90,90,463.05
LOC-BLR-01,2025-01-28,187.94,193.17,195.69,90,90,431.84
LOC-BLR-01,2025-01-29,185.52,205.86,192.24,87,87,434.97
LOC-BLR-01,2025-01-30,195.86,217.77,217.24,93,93,459.09
LOC-DEL-01,2025-01-01,177.86,183.66,198.44,88,88,418.07
LOC-DEL-01,2025-01-02,178.14,184.35,201.98,86,86,432.56
LOC-DEL-01,2025-01-03,198.2,211.16,200.9,85,85,453.13
LOC-DEL-01,2025-01-04,195.8,206.19,186.22,89,89,469.62
LOC-DEL-01,2025-01-05,184.03,198.64,233.04,85,85,443.9
LOC-DEL-01,2025-01-06,227.18,235.21,220.28,87,87,542.01
LOC-DEL-01,2025-01-07,212.45,207.51,224.1,91,90,476.02
LOC-DEL-01,2025-01-08,169.59,207.38,192.83,89,89,400.76
LOC-DEL-01,2025-01-09,193.88,198.53,211.0,83,83,451.34
LOC-DEL-01,2025-01-10,202.1,213.81,209.35,93,93,464.89
LOC-DEL-01,2025-01-11,187.38,241.72,203.84,90,90,463.28
LOC-DEL-01,2025-01-12,193.84,201.15,194.93,88,88,446.22
LOC-DEL-01,2025-01-13,179.57,199.0,206.85,91,91,440.51
LOC-DEL-01,2025-01-14,203.65,186.42,202.97,87,86,463.88
LOC-DEL-01,2025-01-15,211.77,219.95,195.98,88,88,485.81
LOC-DEL-01,2025-01-16,171.15,212.58,190.88,91,90,423.79
LOC-DEL-01,2025-01-17,174.76,205.74,212.28,89,89,425.81
LOC-DEL-01,2025-01-18,176.71,200.87,211.91,91,91,426.13
LOC-DEL-01,2025-01-19,193.31,216.03,198.69,92,92,460.84
LOC-DEL-01,2025-01-20,195.42,218.86,206.43,91,91,477.87
LOC-DEL-01,2025-01-21,195.07,207.48,196.78,86,86,475.81
LOC-DEL-01,2025-01-22,184.16,194.26,195.21,85,85,450.04
LOC-DEL-01,2025-01-23,202.35,205.89,219.97,92,92,447.4
LOC-DEL-01,2025-01-24,184.69,189.2,215.38,89,89,435.39
LOC-DEL-01,2025-01-25,192.79,202.32,206.82,87,87,460.47
LOC-DEL-01,2025-01-26,177.7,179.84,190.05,89,88,425.71
LOC-DEL-01,2025-01-27,184.67,189.99,196.5,90,90,452.15
LOC-DEL-01,2025-01-28,176.77,194.07,188.52,92,92,407.23
LOC-DEL-01,2025-01-29,182.9,187.32,201.78,90,89,439.93
LOC-DEL-01,2025-01-30,182.45,188.69,176.03,82,82,427.23
LOC-DEL-02,2025-01-01,206.13,247.35,213.2,84,84,502.39
LOC-DEL-02,2025-01-02,191.79,195.2,200.01,92,91,420.99
LOC-DEL-02,2025-01-03,208.24,218.73,206.4,86,86,473.63
LOC-DEL-02,2025-01-04,223.65,223.88,210.01,84,83,495.49
LOC-DEL-02,2025-01-05,191.4,183.28,206.49,84,84,442.2
LOC-DEL-02,2025-01-06,177.13,173.6,171.41,84,83,412.68
LOC-DEL-02,2025-01-07,196.58,192.47,197.77,87,86,446.52
LOC-DEL-02,2025-01-08,194.45,200.73,224.68,92,92,466.91
LOC-DEL-02,2025-01-09,182.91,197.31,189.51,90,90,423.02
LOC-DEL-02,2025-01-10,191.89,208.29,185.71,87,87,448.15
LOC-DEL-02,2025-01-11,197.63,190.93,190.25,89,89,445.0
LOC-DEL-02,2025-01-12,190.89,199.24,223.94,88,88,447.85
LOC-DEL-02,2025-01-13,183.22,204.68,194.29,89,88,425.55
LOC-DEL-02,2025-01-14,189.04,203.23,213.07,89,89,444.11
LOC-DEL-02,2025-01-15,210.53,212.24,224.31,88,88,474.08
LOC-DEL-02,2025-01-16,192.45,196.98,207.79,91,91,454.45
LOC-DEL-02,2025-01-17,198.97,195.39,217.47,93,93,465.86
LOC-DEL-02,2025-01-18,187.73,185.42,194.28,90,90,436.4
LOC-DEL-02,2025-01-19,187.72,206.22,204.01,89,86,451.11
LOC-DEL-02,2025-01-20,181.63,197.98,195.12,87,86,437.48
LOC-DEL-02,2025-01-21,194.95,219.35,209.16,87,87,476.42
LOC-DEL-02,2025-01-22,193.88,196.09,209.21,91,91,438.3
LOC-DEL-02,2025-01-23,205.1,202.15,198.39,90,89,479.51
LOC-DEL-02,2025-01-24,188.04,185.33,183.09,89,89,449.55
LOC-DEL-02,2025-01-25,203.9,217.18,210.49,87,87,463.76
LOC-DEL-02,2025-01-26,192.08,185.22,200.0,87,87,451.58
LOC-DEL-02,2025-01-27,200.44,193.72,196.4,86,86,461.82
LOC-DEL-02,2025-01-28,196.24,198.21,204.89,94,94,447.35
LOC-DEL-02,2025-01-29,177.84,201.57,180.22,87,87,442.74
LOC-DEL-02,2025-01-30,187.07,214.41,194.47,94,94,431.46
LOC-MUM-01,2025-01-01,158.48,172.02,177.04,91,91,397.43
LOC-MUM-01,2025-01-02,171.02,204.96,221.15,86,86,422.12
LOC-MUM-01,2025-01-03,191.26,199.56,214.31,85,85,434.03
LOC-MUM-01,2025-01-04,172.71,184.84,204.13,86,86,417.54
LOC-MUM-01,2025-01-05,189.36,202.97,202.02,91,91,429.4
LOC-MUM-01,2025-01-06,182.41,187.87,212.84,88,88,428.32
LOC-MUM-01,2025-01-07,180.22,181.9,192.42,88,88,428.58
LOC-MUM-01,2025-01-08,174.4,187.5,199.53,87,87,420.5
LOC-MUM-01,2025-01-09,187.03,224.02,214.95,91,91,432.43
LOC-MUM-01,2025-01-10,186.14,211.02,204.41,89,89,443.53
LOC-MUM-01,2025-01-11,185.41,195.5,187.94,86,85,444.03
LOC-MUM-01,2025-01-12,177.04,178.47,194.99,83,83,400.64
LOC-MUM-01,2025-01-13,167.25,215.72,214.67,83,83,432.02
LOC-MUM-01,2025-01-14,188.62,191.45,200.27,88,88,424.0
LOC-MUM-01,2025-01-15,213.51,179.39,196.01,89,89,463.32
LOC-MUM-01,2025-01-16,194.41,203.47,202.67,93,93,449.21
LOC-MUM-01,2025-01-17,184.41,190.27,222.24,89,89,457.86
LOC-MUM-01,2025-01-18,184.97,201.4,200.53,88,86,429.41
LOC-MUM-01,2025-01-19,184.2,194.39,196.31,89,89,426.94
LOC-MUM-01,2025-01-20,174.87,175.51,203.33,81,79,404.86
LOC-MUM-01,2025-01-21,178.38,194.06,207.29,87,86,419.77
LOC-MUM-01,2025-01-22,161.53,194.5,184.35,85,83,404.93
LOC-MUM-01,2025-01-23,171.79,183.92,204.92,87,87,419.57
LOC-MUM-01,2025-01-24,181.94,192.01,213.59,86,86,417.76
LOC-MUM-01,2025-01-25,189.14,222.93,213.64,88,88,462.57
LOC-MUM-01,2025-01-26,185.96,192.52,228.86,92,92,437.73
LOC-MUM-01,2025-01-27,188.21,202.04,219.76,88,88,429.67
LOC-MUM-01,2025-01-28,190.0,203.77,220.49,88,88,451.01
LOC-MUM-01,2025-01-29,205.47,195.8,215.42,90,90,461.85
LOC-MUM-01,2025-01-30,177.56,198.89,195.71,88,88,431.04
